tconst,primaryTitle,startYear
tt0082125,Bürgschaft für ein Jahr,1981
tt0082128,Bankers Also Have Souls,1982
tt0082136,The Cannonball Run,1981
tt0082144,Das Casanova-Projekt,1981
tt0082145,Cattle Annie and Little Britches,1981
tt0082151,Cerromaior,1980
tt0082153,The Masked Avengers,1981
tt0082154,Chaalchitra,1981
tt0082155,Qian wang dou qian ba,1981
tt0082158,Chariots of Fire,1981
tt0082161,Charlie's Bubble,1981
tt0082162,Chashme Buddoor,1981
tt0082163,Nice Dreams,1981
tt0082168,O Chico Fininho,1982
tt0082173,Choice of Arms,1981
tt0082174,House of Traps,1982
tt0082175,The Chosen,1981
tt0082176,Christiane F.,1981
tt0082181,Chytilova Versus Forman,1982
tt0082182,I Sent a Letter to My Love,1980
tt0082183,La Chevre,1981
tt0082186,Clash of the Titans,1981
tt0082189,Huang tian hou tu,1981
tt0082190,El color de nuestra piel,1981
tt0082192,Come-Back,1981
tt0082196,Caution to the Wind,1980
tt0082198,Conan the Barbarian,1982
tt0082200,Continental Divide,1981
tt0082203,Cream Horn,1981
tt0082204,Corridas de alegría,1982
tt0082206,Coup de Torchon,1981
tt0082210,El crack,1981
tt0082214,La cripta,1981
tt0082216,Croaziera,1981
tt0082217,Croque la vie,1981
tt0082218,Cry Freedom,1981
tt0082219,The Fault,1980
tt0082220,Cutter's Way,1981
tt0082222,Man of Iron,1981
tt0082223,Czule miejsca,1981
tt0082225,Céleste,1980
tt0082226,D.O.A.,1980
tt0082230,Lady of the Camelias,1981
tt0082236,Daughter and Father,1981
tt0082241,Carnival Scenes,1982
tt0082242,Dead & Buried,1981
tt0082247,Death Hunt,1981
tt0082250,Death Wish II,1982
tt0082252,The Decline of Western Civilization,1981
tt0082254,Dein unbekannter Bruder,1982
tt0082256,Delitto al ristorante cinese,1981
tt0082259,"Deprisa, Deprisa",1981
tt0082266,Dina e Django,1981
tt0082267,The Organization,1981
tt0082269,Diva,1981
tt0082271,"Djeli, conte d'aujourd'hui",1981
tt0082272,The Strange Case of Dr. Jekyll and Miss Osbourne,1981
